name,full.name,place.of.birth,publisher
A-Bomb,Richard Milhouse Jones,"Scarsdale, Arizona",Marvel Comics
Agent Bob,Bob,-,Marvel Comics
Black Flash,,-,DC Comics
Black Goliath,,-,Marvel Comics
Black Knight III,Dane Whitman,"Gloucester, Massachusetts",Marvel Comics
Black Lightning,Jefferson Pierce,-,DC Comics
Black Mamba,Tanya Sealy,"Chicago, Illinois",Marvel Comics
Black Manta,David,-,DC Comics
Black Panther,T'Challa,"Wakanda, Africa",Marvel Comics
Black Widow,Natasha Romanoff,-,Marvel Comics
Black Widow II,Yelena Belova,-,Marvel Comics
Blackout,,-,Marvel Comics
Agent Zero,Christoph Nord,Unrevealed location in former East Germany,Marvel Comics
Blackwing,Joseph Manfredi,Professional Criminal,Marvel Comics
Blackwulf,Lucian,Armechadon,Marvel Comics
Blade,Eric Brooks,"Soho, London,England",Marvel Comics
Blaquesmith,-,-,Vertigo II
Bling!,Roxanne Washington,-,Marvel Comics
Blink,Clarice Ferguson,Bahamas,Marvel Comics
Blizzard,Gregor Shapanka,-,Marvel Comics
Blizzard,,-,Marvel Comics
Blizzard II,Donald Gill,"Newark, Delaware",Marvel Comics
Blob,Frederick J. Dukes,"Lubbock, Texas",Marvel Comics
Air-Walker,Gabriel Lan,"Xandar, a planet in the Tranta system, Andromeda galaxy",Marvel Comics
Bloodaxe,Jackie Lukus,-,Marvel Comics
Bloodhawk,Lemuel Krug,-,Marvel Comics
Bloodwraith,Sean Dolan,-,Marvel Comics
Blue Beetle,Daniel Garrett,-,DC Comics
Blue Beetle,,-,DC Comics
Blue Beetle II,Theodore Kord,"Chicago, Illinois",DC Comics
Blue Beetle III,Jaime Reyes,Presumed to be El Paso,DC Comics
Boba Fett,,Kamino,George Lucas
Bolt,,-,Marvel Comics
Bomb Queen,,-,Image Comics
Ajax,Francis,-,Marvel Comics
Boom-Boom,Tabitha Smith,-,Meltdown
Boomer,,-,Marvel Comics
Box,Roger Bochs,-,Marvel Comics
Box III,Dr. Walter Langowski,British Columbia,Marvel Comics
Box IV,Madison Jeffries,Place of birth unknown,Gemini V
Brainiac,Vril Dox,-,DC Comics
Brainiac 5,Querl Dox,-,DC Comics
Brother Voodoo,Jericho Drumm,"Port-au-Prince, Haiti",Marvel Comics
Brundlefly,Seth Brundle,-,
Alan Scott,Alan Ladd Wellington Scott,Gotham City,DC Comics
Buffy,Buffy Anne Summers,-,Dark Horse Comics
Bullseye,Lester,-,Marvel Comics
Bumblebee,Karen Beecher,-,DC Comics
Bumbleboy,,-,Marvel Comics
Bushido,Ryuko Orsono,-,DC Comics
Cable,Nathan Summers,Unrevealed location in the 20th Century United States,Marvel Comics
Callisto,Callisto,-,Marvel Comics
Cameron Hicks,,-,SyFy
Cannonball,Samuel Zachery Guthrie,"Cumberland County, Kentucky",Marvel Comics
Captain America,Steve Rogers,"Manhattan, New York City, New York",Marvel Comics
Alex Mercer,Alexander J. Mercer,-,Wildstorm
Captain Atom,Nathaniel Adam,-,DC Comics
Captain Britain,Brian Braddock,"Braddock Manor, England",Marvel Comics
Captain Cold,Leonard Snart,-,DC Comics
Captain Epic,,Canada,Team Epic TV
Captain Hindsight,Jack Brolin,-,South Park
Captain Mar-vell,Mar-Vell,The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),Marvel Comics
Captain Marvel,Billy Batson,"Fawcett City, United States",DC Comics
Captain Marvel,Carol Danvers,"Boston, Massachusetts",Binary
Captain Marvel II,Frederick Christopher Freeman,-,DC Comics
Captain Midnight,,-,Dark Horse Comics
Alex Woolsly,Alex Woolsly,-,NBC - Heroes
Captain Planet,,-,Marvel Comics
Captain Universe,,-,Marvel Comics
Carnage,Cletus Kasady,-,Marvel Comics
Cat,Shirlee Bryant,"Chicago, Illinois",Marvel Comics
Cat II,,-,Marvel Comics
Catwoman,Selina Kyle,Gotham City,DC Comics
Cecilia Reyes,Dr. Cecilia Reyes,Place of birth unknown,Marvel Comics
Century,,-,Marvel Comics
Cerebra,Shakti Haddad,-,Marvel Comics
Chamber,Jonothon Evan Starsmore,United Kingdom,Marvel Comics
Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,-,DC Comics
Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,Russia,DC Comics
Changeling,Kevin Sidney,-,Marvel Comics
Cheetah,Priscilla Rich,-,DC Comics
Cheetah III,Barbara Minerva,-,DC Comics
Chromos,Bernard Embers,"London, England",Team Epic TV
Chuck Norris,Carlos Ray Norris,"Ryan, Oklahoma, United States",null
Citizen Steel,Nathan Heywood,-,DC Comics
Claire Bennet,Claire Bennet,-,NBC - Heroes
Clea,Clea,The Dark Dimension,Marvel Comics
Alien,Xenomorph,Your chest :),Dark Horse Comics
Cloak,Tyrone Johnson,"South Boston, Massachusetts",Marvel Comics
Clock King,William Tockman,-,DC Comics
Cogliostro,Cain,-,Image Comics
Colin Wagner,,-,HarperCollins
Colossal Boy,,-,DC Comics
Colossus,Piotr Nikolaievitch Rasputin,"Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia",Marvel Comics
Copycat,Vanessa Carlysle,-,Marvel Comics
Corsair,Christopher Summers,-,Marvel Comics
Cottonmouth,Burchell Clemens,-,Marvel Comics
Crimson Crusader,Rory Destine,"Ravenscroft, England",Marvel Comics
Allan Quatermain,,-,Wildstorm
Crimson Dynamo,Anton Vanko,-,Marvel Comics
Crystal,Crystallia Amaquelin,Attilan,Marvel Comics
Curse,Phillip Krahn,-,Image Comics
Cy-Gor,,-,Image Comics
Cyborg,Victor Stone,"New York City, New York",DC Comics
Cyborg Superman,Henry Henshaw,-,DC Comics
Cyclops,Scott Summers,"Anchorage, Alaska",Marvel Comics
Cypher,Douglas Aaron Ramsey,Place of birth unknown,Marvel Comics
Dagger,Tandy Bowen,"Shaker Heights, Ohio",Marvel Comics
Danny Cooper,,-,HarperCollins
Abe Sapien,Abraham Sapien,-,Dark Horse Comics
Amazo,,-,DC Comics
Daphne Powell,Daphne Powell,-,ABC Studios
Daredevil,Matt Murdock,"New York City, New York",Marvel Comics
Darkhawk,Christopher Powell,"Queens, New York",Marvel Comics
Darkman,Peyton Westlake,-,Universal Studios
Darkseid,Uxas,-,DC Comics
Darkside,,-,null
Darkstar,Laynia Petrovna,"Minks, USSR",Marvel Comics
Darth Maul,,Dathomir,George Lucas
Darth Vader,Anakin Skywalker,Tatooine,George Lucas
Dash,Dashiell Robert Parr,-,Dark Horse Comics
Ammo,,-,Marvel Comics
Data,Data,-,Star Trek
Dazzler,Alison Blaire,"Gardendale, Long Island, New York",Marvel Comics
Deadman,Boston Brand,-,DC Comics
Deadpool,Wade Wilson,Canada,Evil Deadpool
Deadshot,Floyd Lawton,-,DC Comics
Deathlok,Luther Manning,-,Marvel Comics
Deathstroke,Slade Joseph Wilson,-,DC Comics
Demogoblin,,-,Marvel Comics
Destroyer,,Created in Asgard,Marvel Comics
Diamondback,Willis Stryker,-,Marvel Comics
Ando Masahashi,Ando Masahashi,-,NBC - Heroes
DL Hawkins,Daniel Lawrence Hawkins,-,NBC - Heroes
Doc Samson,Leonard Samson,"Tulsa, Oklahoma",Marvel Comics
Doctor Doom,Victor von Doom,"Haasenstadt, Latveria",Marvel Comics
Doctor Doom II,Kristoff Vernard,"Doomstadt, Latveria",Marvel Comics
Doctor Fate,Kent Nelson,-,DC Comics
Doctor Octopus,Otto Octavius,"Schenectady, New York",Marvel Comics
Doctor Strange,Stephen Strange,"Philadelphia, Pennsylvania",Marvel Comics
Domino,Neena Thurman,"Project: Armageddon base, Everglades, Florida",Marvel Comics
Donatello,,-,IDW Publishing
Donna Troy,Donna Hinckley Stacey Troy,-,DC Comics
Angel,Liam,-,Dark Horse Comics
Doomsday,Doomsday,Krypton,DC Comics
Doppelganger,,The Dimension of Manifestations,Marvel Comics
Dormammu,Dormammu,Faltine Dimension,Marvel Comics
Dr Manhattan,Jonathan Osterman,-,DC Comics
Drax the Destroyer,Arthur Sampson Douglas,"Burbank, California",Marvel Comics
Ego,Ego,The Black Galaxy,Marvel Comics
Elastigirl,Helen Parr,-,Dark Horse Comics
Electro,Maxwell Dillon,-,Marvel Comics
Elektra,Elektra Natchios,-,Marvel Comics
Elle Bishop,,-,NBC - Heroes
Angel,Warren Kenneth Worthington III,"Centerport, Long Island, New York",Archangel
Elongated Man,Ralph Dibny,-,DC Comics
Emma Frost,Emma Frost,"Boston, Massachusetts",Marvel Comics
Enchantress,June Moone,-,DC Comics
Energy,,-,HarperCollins
ERG-1,,-,DC Comics
Ethan Hunt,Ethan Hunt,"Madison, Wisconsin, United States of America",null
Etrigan,Jason Blood,Hell,DC Comics
Evil Deadpool,Wade Wilson,-,Deadpool
Evilhawk,Dargin Bokk,-,Marvel Comics
Exodus,Bennet du Paris,-,Marvel Comics
Angel Dust,Christina,-,Marvel Comics
Fabian Cortez,Fabian Cortez,Place of birth unknown,Marvel Comics
Falcon,Sam Wilson,"New York, New York",Marvel Comics
Fallen One II,,-,Marvel Comics
Faora,Faora Hu-Ul,-,DC Comics
Feral,Maria Callasantos,Place of birth unknown,Marvel Comics
Fighting Spirit,Carol Carter,-,DC Comics
Fin Fang Foom,,-,Marvel Comics
Firebird,Bonita Juarez,"Buena Vista, New Mexico",Marvel Comics
Firelord,Pyreus Kril,"Xander, planet in Tranta System, Andromeda Galaxy",Marvel Comics
Firestar,Angelica Jones,Place of birth unknown,Marvel Comics
Angel Salvadore,Angel Salvadore Bohusk,-,Tempest
Firestorm,Jason Rusch,-,DC Comics
Firestorm,Ronald Raymond,-,DC Comics
Fixer,Paul Norbert Ebersol,"Dayton, Ohio",Marvel Comics
Flash,Jay Garrick,"Hibbardsville, Kansas",DC Comics
Flash Gordon,Steven Gordon,-,null
Flash II,Barry Allen,"Fallville, Iowa",Black Racer
Flash III,Wally West,"Blue Valley, Nebraska",Speed Demon
Flash IV,Bartholomew Allen II,-,Impulse
Forge,,"Unrevealed, presumably in the American West",Marvel Comics
Franklin Richards,Franklin  Richards,"New York, New York",Marvel Comics
Angela,,-,Image Comics
Franklin Storm,Dr. Franklin Storm,Place of birth unknown,Marvel Comics
Frenzy,Joanna Cargill,-,Marvel Comics
Frigga,Frigga,Place of birth unknown,Marvel Comics
Galactus,Galan,(Galan) Taa; (Galactus) the Cosmic Egg,Marvel Comics
Gambit,Remy Etienne LeBeau,"New Orleans, Louisiana",Marvel Comics
Gamora,Gamora Zen Whoberi Ben Titan,"Planet Zen Whoberi, Silican System, Milky Way",Marvel Comics
Garbage Man,Richard Ethan Morse,-,DC Comics
Gary Bell,Gary Bell,-,SyFy
General Zod,Dru-Zod,Krypton,DC Comics
Genesis,Tyler Dayspring,-,Marvel Comics
Animal Man,Bernhard Baker,-,DC Comics
Ghost Rider,Johnny Blaze,"Waukegan, Illinois",Marvel Comics
Ghost Rider II,Daniel Ketch,-,Marvel Comics
Giant-Man,Hank Pym,-,Ant-Man
Giant-Man II,,-,Marvel Comics
Giganta,Doris Zuel,-,DC Comics
Gladiator,Kallark,-,Marvel Comics
Goblin Queen,Madelyne Jennifer Pryor,"Created in Sinister's Labs, Nebraska",Marvel Comics
Godzilla,Gojira,-,
Gog,,-,DC Comics
Goku,Kakarot,-,Shueisha
Annihilus,Annihilus,"Planet of Arthros, Sector 17A, Negative Zone",Marvel Comics
Goliath,Erik Josten,-,Atlas
Goliath,Clint Barton,-,Hawkeye
Goliath,Hank Pym,-,Ant-Man
Goliath IV,William Barrett Foster,"Watts, Los Angeles, California",Marvel Comics
Gorilla Grodd,Grodd,-,DC Comics
Granny Goodness,,Apokolips,DC Comics
Gravity,Greg Willis,"Sheboygan, Wisconsin",Marvel Comics
Greedo,Greedo,Rodia,George Lucas
Green Arrow,Oliver Queen,-,DC Comics
Green Goblin,Norman Osborn,"Hartford, Connecticut",Marvel Comics
Abin Sur,,Ungara,DC Comics
Ant-Man,Hank Pym,"Elmsford, New York",Giant-Man
Green Goblin II,Harold Osborn,New York City,Marvel Comics
Green Goblin III,Barton Hamilton,-,Marvel Comics
Green Goblin IV,Phillip Benjamin Urich,-,Marvel Comics
Groot,Groot,-,Marvel Comics
Guardian,James Hudson,"London, Ontario, Canada",Marvel Comics
Guy Gardner,Guy Gardner,"Baltimore, Maryland",DC Comics
Hal Jordan,Hal Jordan,"Coast City, California",DC Comics
Han Solo,Han Solo,Corellia,George Lucas
Hancock,John Hancock,-,Sony Pictures
Harley Quinn,Harley Quinn,-,DC Comics
Ant-Man II,Scott Lang,"Coral Gables, Florida",Marvel Comics
Harry Potter,Harry James Potter,-,J. K. Rowling
Havok,Alexander Summers,"Honolulu, Hawaii",Marvel Comics
Hawk,Henry Hall,-,DC Comics
Hawkeye,Clint Barton,"Waverly, Iowa",Goliath
Hawkeye II,Katherine Elizabeth Bishop,"New York City, New York",Marvel Comics
Hawkgirl,Kendra Saunders,-,DC Comics
Hawkman,Carter Hall,-,DC Comics
Hawkwoman,Shayera Hol,-,DC Comics
Hawkwoman II,Sharon Parker,-,DC Comics
Hawkwoman III,Shayera Thal,-,DC Comics
Anti-Monitor,,Moon of Qward,DC Comics
Heat Wave,Mick Rory,-,DC Comics
Hela,,-,Marvel Comics
Hellboy,Anung Un Rama,-,Dark Horse Comics
Hellcat,Patricia Walker,"Centerville, CA USA",Marvel Comics
Hellstorm,Daimon Hellstrom,"Greentown, Massachusetts",Marvel Comics
Hercules,Heracles,"Thebes, Greece",Marvel Comics
Hiro Nakamura,Hiro Nakamura,"Tokyo, Japan",NBC - Heroes
Hit-Girl,Mindy McCready,-,Icon Comics
Hobgoblin,Roderick Kingsley,-,Marvel Comics
Hollow,Monet St. Croix,-,Marvel Comics
Anti-Spawn,Jason Wynn,-,Image Comics
Hope Summers,Hope Summers,-,Marvel Comics
Howard the Duck,Howard (Last name unrevealed),"New Stork, New Stork, Duckworld",Marvel Comics
Hulk,Bruce Banner,"Dayton, Ohio",Marvel Comics
Human Torch,Johnny Storm,"Glenville, Long Island, New York",Marvel Comics
Huntress,Helena Rosa Bertinelli,-,Batgirl III
Husk,Paige Elisabeth Guthrie,"Cumberland, Kentucky",Marvel Comics
Hybrid,Scott Washington,"Bedford-Stuyvesant, Brooklyn, New York City",Marvel Comics
Hydro-Man,Morris Bench,"Bronx, New York",Marvel Comics
Hyperion,Mark Milton,-,Marvel Comics
Iceman,Bobby Drake,"Fort Washington, Long Island, New York",Marvel Comics
Anti-Venom,Eddie Brock,"San Francisco, California",Toxin
Impulse,Bartholomew Allen II,-,Flash IV
Indiana Jones,Indiana Jones,"Princeton, New Jersey",George Lucas
Indigo,Iroque,-,DC Comics
Ink,Eric Gitter,-,Marvel Comics
Invisible Woman,Susan Storm Richards,"Glenville, Long Island, New York",Marvel Comics
Iron Fist,Danny Rand,-,Marvel Comics
Iron Man,Tony Stark,"Long Island, New York",Marvel Comics
Iron Monger,Obadiah Stane,-,Marvel Comics
Isis,Adrianna Tomaz,-,DC Comics
Jack Bauer,Kiefer Sutherland,"Enola, Pennsylvania",null
Apocalypse,En Sabah Nur,"Akkaba, Egypt",Marvel Comics
Jack of Hearts,Jonathan Hart,"New Haven, Connecticut",Marvel Comics
Jack-Jack,Jack-Jack Parr,-,Dark Horse Comics
James Bond,James Bond,-,Titan Books
James T. Kirk,James T. Kirk,"Riverside, Iowa, Earth",Star Trek
Jar Jar Binks,Jar Jar Binks,Naboo,George Lucas
Jason Bourne,Jason Bourne,-,null
Jean Grey,Jean Grey,-,Phoenix
Jean-Luc Picard,Jean-Luc Picard,"La Barre, France, Earth",Star Trek
Jennifer Kale,Jennifer Kale,"Citrusville, Florida",Marvel Comics
Jesse Quick,Jesse Chambers,-,Liberty Belle II
Aquababy,"Arthur Curry, Jr.",-,DC Comics
Jessica Cruz,Jessica Cruz,-,DC Comics
Jessica Jones,Jessica Campbell Jones Cage,"Forrest Hills, New York City",Power Woman
Jessica Sanders,,-,NBC - Heroes
Jigsaw,Billy Russo,-,Marvel Comics
Jim Powell,Jim Powell,-,ABC Studios
JJ Powell,JJ Powell,-,ABC Studios
Johann Krauss,Johann Krauss,-,Dark Horse Comics
John Constantine,John Constantine,-,DC Comics
John Wraith,John Wraith,-,Marvel Comics
Aqualad,Garth,"Poseidonis, Atlantis",DC Comics
Joker,Jack Napier,-,DC Comics
Jolt,Helen Takahama,"Ojai, California",Marvel Comics
Jubilee,Jubilation Lee,"Beverly Hills, California",Marvel Comics
Judge Dredd,Joseph Dredd,Mega City One,Rebellion
Juggernaut,Cain Marko,"Berkeley, California",Marvel Comics
Junkpile,,-,Marvel Comics
Justice,Vance Astrovik,-,Marvel Comics
Jyn Erso,Jyn Erso,-,George Lucas
K-2SO,,Galactic Empire,George Lucas
Kang,Nathaniel Richards,"Other Earth, 31st century",Iron Lad
Aquaman,Orin,Atlantis,DC Comics
Kathryn Janeway,Kathryn Janeway,"Bloomington, Indiana, Earth",Star Trek
Katniss Everdeen,Katniss Everdeen,-,
Kevin 11,Kevin Ethan Levin,-,DC Comics
Kick-Ass,Dave Lizewski,New York City,Icon Comics
Kid Flash,Wallace Rudolph West,"Blue Valley, Nebraska",DC Comics
Kid Flash II,Bartholomew Allen II,-,Flash IV
Killer Croc,Waylon Jones,-,DC Comics
Killer Frost,Caitlin Snow,-,DC Comics
Kilowog,,Bolovax Vik,DC Comics
King Kong,King Kong,Skull Island,
Arachne,Julia Carpenter,"Los Angeles, California",Marvel Comics
King Shark,Nanaue,-,DC Comics
Kingpin,Wilson Grant Fisk,New York City area,Marvel Comics
Klaw,Ulysses Klaw,"Vlaardingen, Netherlands",Marvel Comics
Kool-Aid Man,,-,null
Kraven II,Alyosha Kravinoff,-,Marvel Comics
Kraven the Hunter,Sergei Kravinoff,"Volgograd (formerly Stalingrad), Russia",Marvel Comics
Krypto,Krypto the Superdog,-,DC Comics
Kyle Rayner,Kyle Rayner,"North Hollywood, Los Angeles, California",DC Comics
Kylo Ren,Ben Solo,-,George Lucas
Lady Bullseye,,-,Marvel Comics
Abomination,Emil Blonsky,"Zagreb, Yugoslavia",Marvel Comics
Archangel,Warren Kenneth Worthington III,"Centerport, Long Island, New York",Angel
Lady Deathstrike,Yuriko Oyama,"Osaka, Japan",Marvel Comics
Leader,Samuel Sterns,"Boise, Idaho",Marvel Comics
Leech,,-,Marvel Comics
Legion,David Haller,Israel,Marvel Comics
Leonardo,Leonardo,-,IDW Publishing
Lex Luthor,Lex Luthor,-,DC Comics
Light Lass,Ayla Ranzz,-,DC Comics
Lightning Lad,Garth Ranzz,-,DC Comics
Lightning Lord,Mekt Ranzz,-,DC Comics
Living Brain,,-,Marvel Comics
Arclight,Philippa Sontag,Vietnam,Marvel Comics
Living Tribunal,,-,Marvel Comics
Liz Sherman,Elizabeth Anne Sherman,-,Dark Horse Comics
Lizard,Curtis Connors,"Coral Gables, Florida",Marvel Comics
Lobo,Lobo,-,DC Comics
Loki,Loki Laufeyson,"Jotunheim, Asgard",Marvel Comics
Longshot,,-,Marvel Comics
Luke Cage,Luke Cage,"Harlem, New York City",Power Man
Luke Campbell,Luke Campbell,-,NBC - Heroes
Luke Skywalker,Luke Skywalker,Tatooine,George Lucas
Luna,Luna Maximoff,"Attilan, Blue Area of the Moon",Marvel Comics
Ardina,Ardina,-,Marvel Comics
Lyja,Lyja,-,Marvel Comics
Mach-IV,Abner Jenkins,"Baltimore, Maryland",Marvel Comics
Machine Man,"X-51, Aaron Stack","Central City, California",Marvel Comics
Magneto,Erik Magnus Lensherr,"Unrevealed, probably somewhere in Northern Europe",Marvel Comics
Magog,David Reid,-,DC Comics
